config,seed,accuracy,auc,brier,log_loss,best_round,fold
F1×H4,0,0.723442563917897,0.7698858373994759,0.18298864364624023,0.5411758363149547,549,2025
F1×H4,1,0.7205617572920417,0.7697758538899431,0.18304085731506348,0.5412159355930594,531,2025
F1×H4,2,0.7214620093626215,0.7698904965211891,0.18300946056842804,0.5411239819609898,526,2025
F1×H4,3,0.7207418077061577,0.7697927961507184,0.18293441832065582,0.541121100405,498,2025
F1×H4,4,0.7207418077061577,0.7693604155371825,0.18311922252178192,0.5414219996234008,482,2025
F1×H4,5,0.7245228664025928,0.7708426515767598,0.18266168236732483,0.5402581360965387,583,2025
F1×H4,6,0.7207418077061577,0.7698546354025481,0.18299326300621033,0.5409541223327041,548,2025
F1×H4,7,0.7187612531508822,0.7693429085343815,0.18322685360908508,0.5416363018435019,546,2025
F1×H4,8,0.7211019085343896,0.770348361118641,0.1828993558883667,0.5408807194406314,565,2025
F1×H4,9,0.723262513503781,0.7708322038492816,0.18264129757881165,0.5402723521100814,517,2025
F1×H4,10,0.7211019085343896,0.769709920258426,0.18304970860481262,0.5412666450641614,530,2025
F1×H4,11,0.7223622614332013,0.7699199336992862,0.18298643827438354,0.5410426579453734,546,2025
F1×H4,12,0.7203817068779258,0.7698845667299177,0.1829196661710739,0.5409516058772188,498,2025
F1×H4,13,0.7227223622614332,0.7697426752959249,0.18311309814453125,0.5413752527587699,529,2025
F1×H4,14,0.7200216060496939,0.7694166779615073,0.18325506150722504,0.5416066581715181,553,2025
F1×H4,15,0.7191213539791141,0.7699252987485317,0.1830461323261261,0.5412468680753179,585,2025
F1×H4,16,0.7218221101908534,0.7694317848106984,0.18325066566467285,0.5416909970776825,577,2025
F1×H4,17,0.7203817068779258,0.7701133578431374,0.18288177251815796,0.5409685627875472,495,2025
F1×H4,18,0.7218221101908534,0.7696818243426403,0.1831217259168625,0.5413846107238253,574,2025
F1×H4,19,0.719841555635578,0.7701790091036415,0.1828552633523941,0.5406731928171081,514,2025
F1×H4,20,0.7203817068779258,0.7694523978946417,0.18320122361183167,0.5414259869900239,574,2025
F1×H4,21,0.7209218581202737,0.7686891490467154,0.18343667685985565,0.542141055099872,539,2025
F1×H4,22,0.7214620093626215,0.7698811782777627,0.1830381602048874,0.5410639457691886,544,2025
F1×H4,23,0.7221822110190853,0.7703825280112044,0.1830229014158249,0.5410092947761541,620,2025
F1×H4,24,0.7220021606049694,0.7696396098762085,0.18309465050697327,0.5412841177132064,549,2025
