feature_set,hyper_config,n_features,accuracy,auc,brier,log_loss,mean_stop_round,Michigan vs Arizona_mean,Michigan vs Arizona_std,Michigan vs Arizona_spread,UConn vs Illinois_mean,UConn vs Illinois_std,UConn vs Illinois_spread
F4,H5,31,0.7148886910062332,0.7767929456431395,0.18109989836812018,0.5334219327141605,745.8,0.6003211855888366,0.0050522813151285375,0.01799905300140381,0.44189742058515546,0.004899568813423663,0.023006677627563477
F2,H5,37,0.7156634016028496,0.7769844643297948,0.1810285858809948,0.5331611968815347,737.0,0.6025248438119888,0.005113772356113093,0.015143096446990967,0.44374098777771,0.0065656339815128965,0.02472659945487976
F3,H5,36,0.7192074799643812,0.7754737460930173,0.1814500533044338,0.534390454380564,954.55,0.5839455276727676,0.005793927010642064,0.022936642169952393,0.4063730612397194,0.0067223527987141825,0.03068673610687256
F8,H5,21,0.7141228851291184,0.776643589281022,0.181180689483881,0.5335940378629104,689.45,0.578587281703949,0.006258162023309407,0.026506483554840088,0.43448232412338256,0.006384873891452628,0.021938085556030273
F2,H3,37,0.7158860195903829,0.7768451542981819,0.1811220683157444,0.5333731660504186,363.0,0.6063509970903397,0.006307375137152763,0.019283950328826904,0.44537957310676574,0.008741290587161795,0.03595253825187683
F4,H4,31,0.7154585930543188,0.7774118847231798,0.18076297044754028,0.5325700949727414,553.0,0.5876842647790909,0.0064439787513926846,0.024129152297973633,0.43402795791625975,0.006447271030045263,0.02169761061668396
F1,H4,44,0.7153962600178094,0.7777101649781143,0.1805884949862957,0.5317710323574838,565.05,0.5914991557598114,0.006786415803636071,0.02402627468109131,0.44091113954782485,0.006464197257554633,0.02833491563796997
F2,H4,37,0.7165805877114872,0.7774866401308995,0.18072039783000945,0.5324030211068517,538.15,0.5887325525283813,0.006807094084678511,0.0288429856300354,0.43450904488563535,0.006330604377938487,0.02273726463317871
F6,H5,24,0.7140783615316117,0.7766121219909404,0.18117013499140738,0.533570062625821,694.55,0.5806692004203796,0.007271788253085626,0.02783513069152832,0.43628387004137037,0.005703510664709835,0.02065715193748474
F1,H5,44,0.7147907390917186,0.7773122520337726,0.1808624818921089,0.5324398759908753,758.65,0.6082083970308304,0.007291342101076407,0.024752557277679443,0.4509486764669418,0.00687559874841104,0.023165255784988403
F7,H5,28,0.719421193232413,0.7746001272146203,0.18180762752890586,0.5352603359710277,928.45,0.5599331825971603,0.00807144317475719,0.028956353664398193,0.40359365493059157,0.005727011374385863,0.02037912607192993
F3,H4,36,0.7183348174532502,0.7758499840878754,0.1811015136539936,0.5335022841237065,668.65,0.5713733464479447,0.008497863152225895,0.03257334232330322,0.4128436207771301,0.0067139254674140995,0.027869701385498047
F8,H4,21,0.7144078361531612,0.777112681180611,0.1809100590646267,0.5329235878075509,522.7,0.5612307280302048,0.008987501089239961,0.03741210699081421,0.4306381866335869,0.006188900254929798,0.023875504732131958
F6,H4,24,0.7143900267141585,0.7771072753143502,0.18088625967502595,0.532863716263358,530.5,0.5617708384990692,0.009177825704901428,0.03312277793884277,0.43092169165611266,0.007500213735828226,0.02863442897796631
F5,H5,27,0.7142653606411399,0.776585652123891,0.1811719313263893,0.5336071892306687,695.35,0.5866614490747452,0.009190298205460199,0.030954182147979736,0.435571651160717,0.005466606014708363,0.02278083562850952
F5,H4,27,0.714692787177204,0.777062912888052,0.18088192939758302,0.5328665630590601,532.2,0.5728448182344437,0.009474769584426909,0.03357088565826416,0.4329251512885094,0.00754129663194157,0.031118690967559814
F7,H3,28,0.7188156723063224,0.7746387439773501,0.18184123635292054,0.5352656179915065,486.5,0.5616223841905594,0.009520148730468959,0.03953516483306885,0.40385738760232925,0.008606044922065393,0.032348185777664185
F6,H2,24,0.7144523597506679,0.7769657995039372,0.180976290255785,0.5330310852869269,256.0,0.5605677247047425,0.00962679999957566,0.0425037145614624,0.4336962789297104,0.0110427251610049,0.047209978103637695
F1,H3,44,0.7146126447016921,0.7773262558016101,0.18090996518731117,0.532498704588442,390.7,0.602949196100235,0.010046148758446208,0.0349765419960022,0.4467857763171196,0.012716258175654355,0.048250287771224976
F7,H2,28,0.7184149599287623,0.7747991454681198,0.1816060610115528,0.5346389027869392,346.05,0.5427634745836258,0.010120245353949823,0.03701150417327881,0.40467278361320497,0.012380745131171846,0.048200905323028564
F4,H3,31,0.7148708815672306,0.7766719263171162,0.18118100985884666,0.5335830687958507,372.65,0.6002093106508255,0.010246277497705649,0.04355299472808838,0.44265509992837904,0.007031041640385669,0.0252382755279541
F2,H2,37,0.7164737310774709,0.7773663965037809,0.1808234617114067,0.5325390712654989,268.45,0.5867403656244278,0.010257539992237547,0.038826942443847656,0.43718173503875735,0.008909736509361953,0.03748130798339844
F5,H3,27,0.713633125556545,0.7765635481374027,0.18122925385832786,0.533629841620826,357.95,0.5857354044914246,0.01034068899979207,0.03796839714050293,0.4346354156732559,0.010057775642423177,0.03537672758102417
F7,H4,28,0.7191807658058772,0.7748261473410551,0.1815454602241516,0.5345449222056634,671.55,0.5440902292728425,0.010396761969207637,0.04590040445327759,0.40588709264993666,0.010573286120484856,0.046420007944107056
F6,H3,24,0.7136420302760463,0.7765439394301346,0.18124820664525032,0.5336889661020294,344.9,0.5797699689865112,0.010410444951813043,0.04472684860229492,0.4377097100019455,0.0095409814794968,0.03494530916213989
F3,H2,36,0.7178450578806769,0.7758328569306431,0.18116572350263596,0.5334916061652117,369.55,0.5786356896162033,0.010675016395153739,0.039021968841552734,0.41039944142103196,0.0157250954057681,0.06107676029205322
F8,H3,21,0.7133837934105076,0.7764887687036108,0.18128878250718117,0.5337774760358394,346.85,0.5773564338684082,0.011005969667612487,0.04578679800033569,0.4327735394239426,0.008851159065435982,0.02920246124267578
F3,H3,36,0.7187444345503116,0.7756265999647984,0.18143704384565354,0.5342672913581372,514.35,0.5847401469945908,0.011035360618925953,0.038701772689819336,0.408831924200058,0.010977272714395789,0.0368465781211853
F4,H2,31,0.7153784505788068,0.7771845362981781,0.18087986931204797,0.5327956761560616,275.3,0.5854552924633026,0.011111236203918285,0.042909860610961914,0.43631742894649506,0.010778879515204315,0.03967663645744324
F5,H2,27,0.7137221727515584,0.776976216522414,0.18097489699721336,0.5329424258326142,274.15,0.5677692979574204,0.01179273768113218,0.04455834627151489,0.4339653208851814,0.009877748319172543,0.03920289874076843
F8,H2,21,0.7137756010685663,0.7767443889510821,0.18111330941319465,0.5332465086306584,267.1,0.5512242287397384,0.012049490066782156,0.041716814041137695,0.4298014685511589,0.014443427850825212,0.05294984579086304
F1,H2,44,0.7154229741763134,0.7774976337751109,0.18071299716830252,0.5319639767270441,284.6,0.586284664273262,0.01434800609010722,0.0708082914352417,0.43864329606294633,0.011722957849925601,0.03884369134902954
F7,H1,28,0.7144523597506679,0.772157832348539,0.18255214989185334,0.536870785075598,94.0,0.514972260594368,0.024066300708937872,0.09271180629730225,0.4101006597280502,0.039620205077045494,0.1522207260131836
F3,H1,36,0.7157346393588601,0.772914742864737,0.18219729736447335,0.5361148022707841,93.75,0.5387929230928421,0.024962902163328998,0.08282822370529175,0.40337529927492144,0.030887504795116986,0.11982467770576477
F4,H1,31,0.7147195013357079,0.7750912407255929,0.18162882700562477,0.5346855948596769,81.0,0.5293665707111359,0.030992433252975245,0.12010842561721802,0.43880245834589005,0.02784130889810566,0.12834131717681885
F2,H1,37,0.7154674977738202,0.7752120335200777,0.1815722666680813,0.5343819651883439,80.05,0.5343238338828087,0.03226647407014641,0.09493756294250488,0.4367894306778908,0.03392446966140332,0.11994579434394836
